omset,tahun_berdiri,kapasitas_produksi
9493293,2015,729
9783071,2014,411
8572021,2000,802
7898700,2003,1333
9148899,2002,263
9189285,2000,329
9190150,2003,1249
8787600,2009,975
8234738,2000,219
9039998,2006,799
8602788,2014,176
8353531,2008,242
9517244,2015,558
8919431,2004,50
9735640,2019,50
9117938,2000,354
8553695,2009,50
8066466,2016,695
9272432,2022,62
9852416,2024,50
9952349,2018,1226
9854767,2016,478
8571607,2020,548
8275679,2014,50
8497878,2002,312
9373593,2009,728
9832997,2013,71
8357279,2016,574
9359668,2016,291
8163353,2005,223
9790419,2012,338
9050652,2006,1438
8933377,2008,408
9543682,2015,146
8453220,2004,941
9247764,2016,50
8882912,2000,485
8135584,2008,50
8983171,2024,50
9122540,2017,675
8982400,2017,1059
9555581,2012,535
8536416,2008,472
9792474,2020,532
8956429,2006,50
8462689,2004,50
9091255,2023,336
8165706,2007,1029
8197428,2022,721
9019858,2000,50
8646058,2000,759
9909849,2023,447
8013485,2022,71
9293295,2020,836
9161289,2012,1161
9054627,2017,1158
9449907,2009,50
8522115,2008,366
8081874,2022,586
9629580,2005,988
8438597,2020,270
9795857,2024,525
8941327,2018,50
9770806,2023,55
9620557,2021,1651
8912797,2014,1360
9925604,2008,441
9411445,2013,1110
9456828,2008,726
8447230,2020,137
8670160,2022,716
8797166,2021,1380
8859744,2009,359
8089512,2007,1369
8176435,2014,50
9613443,2023,1088
8782614,2011,649
9414561,2008,371
8697139,2010,642
8180960,2016,50
9679518,2013,602
9745282,2005,656
8337772,2019,1155
8342943,2021,259
8889892,2002,67
9886057,2024,299
8643499,2012,966
9098843,2015,825
9098927,2011,282
8190306,2021,695
9314825,2012,521
9913844,2021,1071
9625649,2018,215
9266156,2020,467
8497866,2008,198
8446714,2023,50
8596465,2009,621
9207275,2018,636
8546397,2016,479
9205341,2021,526
8464645,2006,50
9909421,2024,371
8014192,2023,348
9077897,2016,50
9768923,2013,576
9658836,2003,804
9223494,2015,1494
9645543,2019,774
9336706,2000,603
9168424,2005,635
9944467,2016,50
8579140,2017,531
8460214,2017,647
8098297,2020,1759
8408877,2024,437
8492996,2011,731
9859828,2004,547
8783534,2016,50
9144559,2019,982
19784794,2004,1485
18680346,2009,1942
19487517,2003,163
19172206,2010,1997
18635056,2018,271
19579738,2008,1281
19228557,2000,2683
18740929,2021,441
18547759,2021,758
9024602,2021,678
8154823,2012,244
8301974,2014,50
8545101,2004,612
9763825,2015,50
9479241,2018,847
8752887,2008,189
9350282,2021,1320
