omset,tahun_berdiri,kapasitas_produksi_mod
9493293,2015,961
9783071,2014,851
8572021,2000,898
7898700,2003,998
9148899,2002,772
9189285,2000,775
9190150,2003,1159
8787600,2009,945
8234738,2000,641
9039998,2006,924
8602788,2014,675
8353531,2008,653
9517244,2015,908
8919431,2004,402
9735640,2019,499
9117938,2000,700
8553695,2009,559
8066466,2016,780
9272432,2022,640
9852416,2024,576
9952349,2018,1222
9854767,2016,838
8571607,2020,780
8275679,2014,455
8497878,2002,650
9373593,2009,866
9832997,2013,632
8357279,2016,821
9359668,2016,713
8163353,2005,670
9790419,2012,750
9050652,2006,1200
8933377,2008,798
9543682,2015,630
8453220,2004,921
9247764,2016,571
8882912,2000,839
8135584,2008,339
8983171,2024,528
9122540,2017,860
8982400,2017,959
9555581,2012,897
8536416,2008,740
9792474,2020,816
8956429,2006,495
8462689,2004,611
9091255,2023,719
8165706,2007,937
8197428,2022,799
9019858,2000,440
8646058,2000,840
9909849,2023,808
8013485,2022,581
9293295,2020,965
9161289,2012,1040
9054627,2017,1007
9449907,2009,669
8522115,2008,699
8081874,2022,785
9629580,2005,1079
8438597,2020,658
9795857,2024,842
8941327,2018,571
9770806,2023,618
9620557,2021,1042
8912797,2014,1080
9925604,2008,879
9411445,2013,1061
9456828,2008,928
8447230,2020,625
8670160,2022,850
8797166,2021,1105
8859744,2009,786
8089512,2007,1028
8176435,2014,211
9613443,2023,1044
8782614,2011,804
9414561,2008,782
8697139,2010,797
8180960,2016,337
9679518,2013,823
9745282,2005,956
8337772,2019,1040
8342943,2021,641
8889892,2002,629
9886057,2024,780
8643499,2012,960
9098843,2015,886
9098927,2011,705
8190306,2021,832
9314825,2012,858
9913844,2021,1108
9625649,2018,714
9266156,2020,763
8497866,2008,680
8446714,2023,460
8596465,2009,829
9207275,2018,882
8546397,2016,765
9205341,2021,777
8464645,2006,471
9909421,2024,800
8014192,2023,647
9077897,2016,646
9768923,2013,844
9658836,2003,957
9223494,2015,1228
9645543,2019,906
9336706,2000,894
9168424,2005,807
9944467,2016,471
8579140,2017,762
8460214,2017,768
8098297,2020,1206
8408877,2024,713
8492996,2011,820
9859828,2004,881
8783534,2016,546
9144559,2019,1062
19784794,2004,2095
18680346,2009,1993
19487517,2003,1480
19172206,2010,2257
18635056,2018,1242
19579738,2008,2015
19228557,2000,2537
18740929,2021,1391
18547759,2021,1519
9024602,2021,830
8154823,2012,628
8301974,2014,432
8545101,2004,778
9763825,2015,646
9479241,2018,954
8752887,2008,595
9350282,2021,1171
8599677,2018,610
9939054,2004,825
9055611,2009,983
8694590,2000,526
9203978,2024,875
8471762,2007,1021
8008070,2023,399
8772317,2022,824
8466785,2011,809
9111915,2005,982
9311148,2009,573
8480894,2006,492
9890766,2002,1007
8361074,2004,806
9655495,2019,924
8921136,2016,872
9015917,2022,666
8328592,2000,790
9249414,2019,893
9086049,2007,665
8006831,2013,1078
8581868,2012,864
9862413,2011,626
9091405,2024,954
8865877,2024,593
8408148,2023,909
19720189,2004,2233
18465531,2021,1426
18911419,2009,2076
18321904,2008,1828
19863250,2009,2128
18649522,2000,2365
18275979,2004,1603
19567328,2023,1541
19376164,2018,1478
18774633,2005,1453
19190928,2008,1745
19889463,2011,1959
19622728,2007,1910
18299428,2005,1965
19711443,2017,1825
19979295,2003,2367
16443788,2006,1429
18067821,2024,2569
19863594,2009,2058
18029697,2006,1377
18740254,2013,1363
18791614,2007,1899
18606164,2014,1640
19938496,2006,2098
19422620,2020,1959
19679457,2020,1792
18883842,2013,1452
18180569,2024,1170
18541998,2000,1559
18849210,2006,2033
19044177,2013,1832
18270339,2009,1267
19291159,2015,1841
19152387,2004,1902
19094115,2005,1456
18757097,2019,1783
18872142,2019,1761
19647718,2004,1411
18039976,2019,1781
19626305,2018,2011
18848473,2008,2110
18305925,2016,2041
18657124,2005,1252
18077341,2000,1354
19080631,2012,1939
18906356,2020,1921
19232700,2013,1955
18170291,2018,2960
19972759,2020,2050
18590048,2013,2100
19593585,2013,2146
19136249,2007,1992
18016982,2007,1556
19169777,2024,2033
18106867,2019,1412
19038964,2017,1675
19531568,2012,1633
18816956,2023,1764
19456235,2023,2609
19404634,2008,1138
19365292,2022,2028
18737271,2009,1178
11607611,2012,939
19419028,2007,2175
18230076,2006,1702
19682570,2013,1436
19923863,2005,1585
18941137,2021,1982
18011910,2008,1418
18981776,2020,1826
18709835,2023,1742
18307741,2010,1469
19594409,2024,2566
18492696,2021,1920
19389435,2012,1081
18446643,2012,1764
18603430,2021,1491
19468465,2013,2097
19200328,2016,1497
19411390,2014,1752
18349036,2008,1862
18182708,2008,1965
18360300,2019,1289
