id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,,,rand_num,omset_outlier,omset_trim,,aset_baru,aset_baru_2
28828567,UD. Alif Pamungkas,Makanan & Minuman,1,56,3321953,9493293,Tokopedia,479,Belum Terdaftar,2015,-2149355,171000000,479,,,0.976517797,9493293,9493293,,6058574,3321953.255
28828568,UD. Zidanar Panji,Fashion,5,44,4909911,9783071,Bukalapak,464,Terdaftar,2014,32571277,147000000,464,,,0.151496871,9783071,9783071,,9697179,4909911.428
28828569,UD. Winda Jayengprana,Makanan & Minuman,74,51,2442627,8572021,Website Sendiri,383,Belum Terdaftar,2000,16371593,375000000,383,,,0.922860889,8572021,8572021,,53067,2442626.613
28828570,UD. Damaris Satria,Perusahaan,89,5,5401350,7898700,Website Sendiri,986,Belum Terdaftar,2003,11124211,282000000,986,,,0.103956322,7898700,7898700,,19194812,5401349.915
28828571,UD. Qasya Wiratama,Fashion,91,59,3593331,9148899,Lazada,314,Belum Terdaftar,2002,-4636043,450000000,314,,,0.242525229,9148899,9148899,,4383426,3593330.937
28828572,UD. Grego Wiraatmaja Nara,Perusahaan,76,36,14094272,9189285,Bukalapak,661,Belum Terdaftar,2000,10225197,336000000,661,,,0.209552127,9189285,9189285,,8336564,3032464.05
28828573,UD. Mika Bagaskara,Makanan & Minuman,37,53,10377878,9190150,Lazada,714,Terdaftar,2003,-3433417,270000000,unknown,,,0.473678411,9190150,9190150,,10604408,2757045
28828574,UD. Yora Selaras,Makanan & Minuman,75,3,5087510,8787600,Tokopedia,460,Belum Terdaftar,2009,9637378,234000000,460,,,0.162033815,8787600,8787600,,13660538,5087510.342
28828575,UD. Wenny Langit,Makanan & Minuman,82,82,14661897,8234738,Shopee,120,Belum Terdaftar,2000,39104489,492000000,120,,,0.253767005,8234738,8234738,,11980841,14661896.67
28828576,UD. Fani Wijaya,Makanan & Minuman,17,46,6019812,9039998,Website Sendiri,871,Belum Terdaftar,2006,34415640,189000000,871,,,0.611511646,9039998,9039998,,13165704,6019812.303
28828577,UD. Karim Asmaralaya,Makanan & Minuman,18,84,4957433,8602788,Bukalapak,736,Terdaftar,2014,-2951035,306000000,736,,,0.995637416,8602788,8602788,,14011610,4957432.839
28828578,UD. Jafar Gandewa,Makanan & Minuman,27,36,6432219,8353531,Tokopedia,580,Belum Terdaftar,2008,34836432,189000000,580,,,0.436288299,8353531,8353531,,8183142,6432218.87
28828579,UD. Elyas Wiraatmaja,Makanan & Minuman,11,81,7234356,9517244,Bukalapak,593,Belum Terdaftar,2015,17065158,276000000,593,,,0.467893886,9517244,9517244,,3230109,7234356.111
28828580,UD. Erlangga Wiyata,Makanan & Minuman,95,41,3276769,8919431,Website Sendiri,26,Belum Terdaftar,2004,9740643,408000000,26,,,0.472915179,8919431,8919431,,13259450,3276768.698
28828581,UD. Hasna Saputranegara,Makanan & Minuman,51,47,8346824,9735640,Shopee,143,Belum Terdaftar,2019,12644475,294000000,143,,,0.699200684,9735640,9735640,,13893664,8346823.63
28828582,UD. Halim Surya,Makanan & Minuman,76,99,5148624,9117938,Tokopedia,581,Belum Terdaftar,2000,13309023,525000000,581,,,0.300164668,9117938,9117938,,19611666,5148624.097
28828583,UD. Farhan Mulyo,Makanan & Minuman,86,60,3380379,8553695,Website Sendiri,321,Belum Terdaftar,2009,34510730,438000000,321,,,0.572707251,8553695,8553695,,10469238,3380378.542
28828584,UD. Farhan Sukadarma,Makanan & Minuman,99,61,8786205,8066466,Tokopedia,661,Belum Terdaftar,2016,42613809,480000000,661,,,0.891995266,8066466,8066466,,12605188,4920544.26
28828585,UD. Qisha Saprahan,Makanan & Minuman,57,54,4578485,9272432,Bukalapak,542,Belum Terdaftar,2022,40437845,333000000,542,,,0.531361356,9272432,9272432,,17603067,4578484.943
