id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan
28828567,UD. Alif Pamungkas,Makanan & Minuman,2,2,6079294.261,9493293,Tokopedia,729,Belum Terdaftar,2015,1015874,171000000,479
28828568,UD. Zidanar Panji,Fashion,4,3,8691723.096,9783071,Bukalapak,411,Terdaftar,2014,2275862,147000000,464
28828569,UD. Winda Jayengprana,Makanan & Minuman,1,2,8114530.797,8572021,Website Sendiri,802,Belum Terdaftar,2000,2930434,375000000,383
28828570,UD. Damaris Satria,Perusahaan,2,2,2143880.684,7898700,Website Sendiri,1333,Belum Terdaftar,2003,456303,282000000,986
28828571,UD. Qasya Wiratama,Fashion,0,1,8535506.971,9148899,Lazada,263,Belum Terdaftar,2002,1686161,450000000,314
28828572,UD. Grego Wiraatmaja Nara,Perusahaan,4,3,4873821.122,9189285,Bukalapak,329,Belum Terdaftar,2000,669716,336000000,661
28828573,UD. Mika Bagaskara,Makanan & Minuman,2,2,4151049.518,9190150,Lazada,1249,Terdaftar,2003,2462922,270000000,unknown
28828574,UD. Yora Selaras,Makanan & Minuman,1,1,3745178.134,8787600,Tokopedia,975,Belum Terdaftar,2009,-1254827,234000000,460
28828575,UD. Wenny Langit,Makanan & Minuman,1,1,10133875.94,8234738,Shopee,219,Terdaftar,2000,2549624,492000000,120
28828576,UD. Fani Wijaya,Makanan & Minuman,0,1,4898620.433,9039998,Website Sendiri,799,Belum Terdaftar,2006,-247886,189000000,871
28828577,UD. Karim Asmaralaya,Makanan & Minuman,3,3,10616189.1,8602788,Bukalapak,176,Terdaftar,2014,2685379,306000000,736
28828578,UD. Jafar Gandewa,Makanan & Minuman,1,3,9702401.588,8353531,Tokopedia,242,Belum Terdaftar,2008,2361374,189000000,580
28828579,UD. Elyas Wiraatmaja,Makanan & Minuman,1,2,12819394.42,9517244,Bukalapak,558,Belum Terdaftar,2015,4527215,276000000,593
28828580,UD. Erlangga Wiyata,Makanan & Minuman,1,2,20416835.16,8919431,Website Sendiri,50,Belum Terdaftar,2004,2079290,408000000,26
28828581,UD. Hasna Saputranegara,Makanan & Minuman,2,1,14810364.07,9735640,Shopee,50,Belum Terdaftar,2019,1081054,294000000,143
28828582,UD. Halim Surya,Makanan & Minuman,2,2,8255408.366,9117938,Tokopedia,354,Belum Terdaftar,2000,1470493,525000000,581
28828583,UD. Farhan Mulyo,Makanan & Minuman,2,2,12964295.02,8553695,Website Sendiri,50,Belum Terdaftar,2009,2621317,438000000,321
28828584,UD. Farhan Sukadarma,Makanan & Minuman,1,1,4789037.681,8066466,Tokopedia,695,Belum Terdaftar,2016,1206974,480000000,661
28828585,UD. Qisha Saprahan,Makanan & Minuman,1,1,5912254.413,9272432,Bukalapak,62,Terdaftar,2022,-186639,333000000,542
28828586,UD. Tasya Tunggul,Makanan & Minuman,2,4,20707316.2,9852416,Website Sendiri,50,Belum Terdaftar,2024,4305271,387000000,852
28828587,UD. Yudi Kamajaya,Makanan & Minuman,2,2,7338093.05,9952349,Website Sendiri,1226,Belum Terdaftar,2018,3705929,105000000,203
28828588,UD. Putri Wiraatmaja Rafif,Makanan & Minuman,2,2,12088623.61,9854767,Website Sendiri,478,Belum Terdaftar,2016,3477407,306000000,904
