omset,tahun_berdiri
9493293,2015
9783071,2014
8572021,2000
7898700,2003
9148899,2002
9189285,2000
9190150,2003
8787600,2009
8234738,2000
9039998,2006
8602788,2014
8353531,2008
9517244,2015
8919431,2004
9735640,2019
9117938,2000
8553695,2009
8066466,2016
9272432,2022
9852416,2024
9952349,2018
9854767,2016
8571607,2020
8275679,2014
8497878,2002
9373593,2009
9832997,2013
8357279,2016
9359668,2016
8163353,2005
9790419,2012
9050652,2006
8933377,2008
9543682,2015
8453220,2004
9247764,2016
8882912,2000
8135584,2008
8983171,2024
9122540,2017
8982400,2017
9555581,2012
8536416,2008
9792474,2020
8956429,2006
8462689,2004
9091255,2023
8165706,2007
8197428,2022
9019858,2000
8646058,2000
9909849,2023
8013485,2022
9293295,2020
9161289,2012
9054627,2017
9449907,2009
8522115,2008
8081874,2022
9629580,2005
8438597,2020
9795857,2024
8941327,2018
9770806,2023
9620557,2021
8912797,2014
9925604,2008
9411445,2013
9456828,2008
8447230,2020
8670160,2022
8797166,2021
8859744,2009
8089512,2007
8176435,2014
9613443,2023
8782614,2011
9414561,2008
8697139,2010
8180960,2016
9679518,2013
9745282,2005
8337772,2019
8342943,2021
8889892,2002
9886057,2024
8643499,2012
9098843,2015
9098927,2011
8190306,2021
9314825,2012
9913844,2021
9625649,2018
9266156,2020
8497866,2008
8446714,2023
8596465,2009
9207275,2018
8546397,2016
9205341,2021
8464645,2006
9909421,2024
8014192,2023
9077897,2016
9768923,2013
9658836,2003
9223494,2015
9645543,2019
9336706,2000
9168424,2005
9944467,2016
8579140,2017
8460214,2017
8098297,2020
8408877,2024
8492996,2011
9859828,2004
8783534,2016
9144559,2019
19784794,2004
18680346,2009
19487517,2003
19172206,2010
18635056,2018
19579738,2008
19228557,2000
18740929,2021
18547759,2021
9024602,2021
8154823,2012
8301974,2014
8545101,2004
9763825,2015
9479241,2018
8752887,2008
9350282,2021
8599677,2018
9939054,2004
9055611,2009
8694590,2000
9203978,2024
8471762,2007
8008070,2023
8772317,2022
8466785,2011
9111915,2005
9311148,2009
8480894,2006
9890766,2002
8361074,2004
9655495,2019
8921136,2016
9015917,2022
8328592,2000
9249414,2019
9086049,2007
8006831,2013
8581868,2012
9862413,2011
9091405,2024
8865877,2024
8408148,2023
19720189,2004
18465531,2021
18911419,2009
18321904,2008
19863250,2009
18649522,2000
18275979,2004
19567328,2023
19376164,2018
18774633,2005
19190928,2008
19889463,2011
19622728,2007
18299428,2005
19711443,2017
19979295,2003
16443788,2006
18067821,2024
19863594,2009
18029697,2006
18740254,2013
18791614,2007
18606164,2014
19938496,2006
19422620,2020
19679457,2020
18883842,2013
18180569,2024
18541998,2000
18849210,2006
19044177,2013
18270339,2009
19291159,2015
19152387,2004
19094115,2005
18757097,2019
18872142,2019
19647718,2004
18039976,2019
19626305,2018
18848473,2008
18305925,2016
18657124,2005
18077341,2000
19080631,2012
18906356,2020
19232700,2013
18170291,2018
19972759,2020
18590048,2013
19593585,2013
19136249,2007
18016982,2007
19169777,2024
18106867,2019
19038964,2017
19531568,2012
18816956,2023
19456235,2023
19404634,2008
19365292,2022
18737271,2009
11607611,2012
19419028,2007
18230076,2006
19682570,2013
19923863,2005
18941137,2021
18011910,2008
18981776,2020
18709835,2023
18307741,2010
19594409,2024
18492696,2021
19389435,2012
18446643,2012
18603430,2021
19468465,2013
19200328,2016
19411390,2014
18349036,2008
18182708,2008
18360300,2019
19492355,2002
18224345,2018
19305001,2017
18530062,2007
19551679,2017
19577749,2014
18853850,2010
19177980,2006
19682269,2020
19213238,2021
19776649,2023
18763915,2020
19652620,2011
19252831,2003
19770758,2003
18154431,2011
19946151,2010
19002246,2007
19635672,2003
19392487,2009
19094007,2011
19940971,2000
19428967,2004
19497418,2000
19533814,2016
19114305,2013
19259804,2009
19996829,2007
19106774,2023
19633979,2023
18815129,2017
19094872,2015
18156180,2018
19621583,2015
19838494,2002
18498821,2003
18168935,2009
18037395,2000
19869709,2022
18962256,2023
18374459,2009
18948524,2024
19734912,2010
19936827,2003
19986566,2011
18483001,2016
18043886,2020
19980125,2004
19765055,2009
18519294,2012
19635755,2020
19977049,2012
19138097,2004
19582112,2008
19191499,2019
18025687,2000
19983463,2014
18618838,2014
19270510,2022
18096005,
18951430,2004
19766436,2008
19119447,2002
18395452,2003
19091931,2009
18206318,2015
19230016,2021
18527261,2002
18646346,2021
18151241,2013
18441924,2012
19614779,2009
19566963,2022
18242437,2008
18596712,2015
18903228,2011
19639179,2023
18817092,2017
19322099,2012
18458767,2009
18933675,2000
19675460,2005
18275618,2020
19335042,2014
18975825,2013
19335701,2010
18108013,2017
19995842,2018
18952401,2024
18554665,2007
19171576,2023
18621682,2009
19724379,2019
18864669,2024
18937897,2007
18261153,2009
19601027,2019
19134135,2022
19545850,2007
19767894,2007
19404883,2006
19285242,2005
18064122,2009
18070631,2023
19768799,2017
19833315,2014
18780425,2015
18493865,2018
18391131,2002
19875741,2012
19333456,2017
19196041,2008
18660611,2022
18875390,2008
18217258,2017
18489839,2006
19760451,2021
19628757,2018
19672617,2018
18169393,2014
19558588,2014
18117724,2007
18537388,2013
18534814,2015
19564174,2023
18915885,2015
19326553,2017
19068560,2016
19377470,2009
19285233,2009
19922652,2013
18670419,2020
19415589,2007
18580978,2019
19049143,2005
19494621,2003
18080509,2023
18130621,2010
18523353,2019
19733599,2014
19535544,2018
19058879,2016
19352881,2019
19721649,2023
19297242,2004
19865260,2022
18585140,2013
19883137,2021
18072558,2022
12206425,2010
11269891,2022
4288329,2007
5556260,2024
7114158,2011
13781538,2012
6165859,2018
6840294,2024
4617800,2000
13660337,2003
7755097,2004
9098415,2003
4342908,2010
14487639,2012
11334780,2021
9039770,2007
8807697,2003
8104379,2006
11226913,2012
50008922,2006
14212865,2023
4995239,2024
7047203,2013
13551651,2021
8613283,2016
12694964,2017
6778195,2016
13472384,2016
11603954,2015
14181713,2005
7909084,2010
11296452,2000
11870344,2005
4570607,2021
9246713,2007
8175894,2011
9448599,2002
12457622,2021
6963697,2009
5146093,2024
6460166,2009
9221469,2007
7586982,2005
6002818,2003
3415603,2008
3724948,2014
9045847,2015
10139524,2022
7067681,2009
12504004,2003
6660214,2009
4664635,2007
10013167,2023
9223609,2010
12896746,2022
14016674,2005
5527531,2009
9025087,2022
13995083,2003
7500087,2002
8813727,2011
10679821,2000
8482328,2013
6160239,2010
10964620,2007
13936985,2012
11999431,2009
6060825,2005
5389350,2023
10752642,2013
10723092,2003
10909515,2009
10940200,2002
14635909,2022
10829629,2019
11565952,2017
12701007,2006
13399989,2003
4879969,2014
7843348,2022
9610417,2011
10029428,2007
7021267,2021
6207919,2007
8233829,2006
8911596,2017
10474570,2017
10413686,2005
7170917,2024
12575990,2015
8608625,2014
10605649,2005
12825722,2012
9922218,2008
6580965,2011
9422718,2015
4874788,2006
6990702,2007
14030670,2018
6962029,2019
10594186,2000
5008358,2010
13804011,2008
10327776,2012
9501608,2002
11044400,2016
4214868,2008
4750505,2024
6275535,2017
6649388,2015
16252381,2006
7088714,2017
14596324,2014
7086979,2004
13803895,2009
11618542,2006
12483633,2014
7650178,2017
4717262,2005
13214309,2007
9312187,2011
11839251,2020
5071409,2002
5125462,2024
7737186,2024
3551865,2006
10427668,2018
8655115,2016
6602739,2014
10680368,2010
13584436,2002
4647218,2005
5377285,2024
14144132,2016
3400570,2022
10155608,2009
9466441,
10091586,2002
8536501,2022
14584023,2017
11081025,2015
8619508,2009
13218951,2018
3880265,2016
7132408,2008
13216820,2024
5536568,2024
11744595,2012
6444842,2019
12432623,2005
6853034,2012
4298892,2012
5650448,2022
7787711,2022
9533033,2004
5668848,2015
6460822,2010
9250546,2019
14168689,2010
6787686,2016
8008024,2024
9112889,2012
13905687,2003
12152640,2013
11211508,2012
13662020,2019
5770283,2002
12025354,2024
12169717,2009
9728955,2017
3927978,2017
3885699,2003
6172322,2018
5288214,2009
8074680,2000
6959401,2003
6994386,2009
4968186,2008
10243731,2008
9074680,2009
13245872,2023
4455296,2021
7033149,2009
7406866,2007
12186386,2007
6157280,2024
10213745,2016
10727810,2009
3761456,2018
3986032,2020
11864408,2007
4742175,2023
12628328,
6858934,2012
9980409,2023
14109238,2014
11449232,2005
5869925,2017
9770630,2010
6767711,2012
3789443,2004
12010425,2011
6098911,2012
12199127,2015
3658711,2019
6397257,2002
12179868,2004
3700443,2006
7700372,2008
13921077,2009
12143745,2016
14599345,2013
14057041,2013
13171011,2014
12836637,2004
13139727,2003
3437442,2000
4025671,2015
8009402,2006
5978331,2012
9023577,2017
4301196,2022
5416513,2006
8840257,2005
11448380,2008
3726916,2015
5347393,2022
10057773,2007
5705351,2003
14460609,2019
8049658,2022
9253083,2015
14272185,2013
8736494,2003
12765419,2013
6661285,2003
11602874,2009
4722722,2017
4571883,2020
6231651,2022
8645258,2021
12181550,2016
8512562,2024
14194511,2010
11208920,2017
11383121,2018
6210970,2019
4046825,2022
7916363,2022
3827911,2017
13766528,2021
6239999,2008
4791114,2024
8756384,2018
10557192,2018
7393921,2007
3667631,2016
4544461,2004
9241142,2004
6849402,2022
14391068,2008
7025461,2009
6314345,2007
8644968,
10078069,2011
6518850,2004
13311333,2016
3851510,2009
4447348,2011
11868291,2004
10976154,2007
8756326,2024
6170435,2011
6300108,2022
11858524,2009
4910517,2018
13322945,2024
4395605,2023
14084392,2010
10259669,2021
8777013,2002
9375493,2000
7890495,2009
12178947,2005
4067978,2009
5120859,2021
10039850,2014
12670789,2006
12781514,2008
3830806,2000
7154450,2023
11262007,2021
13849770,2012
7907338,2017
13383965,2006
4781107,2008
7045123,2016
7178549,2023
11605246,2005
5053369,2010
6148994,2017
11032617,2010
11396081,2009
12497594,2016
11946161,2015
10948816,2016
6200069,2009
