status_legalitas,omset,laba
Belum Terdaftar,9493293,1015874.4130626027
Terdaftar,9783071,2275861.609485459
Belum Terdaftar,8572021,2930433.8548998698
Belum Terdaftar,7898700,456303.22295545356
Belum Terdaftar,9148899,1686161.0904745073
Belum Terdaftar,9189285,669716.2542904837
Terdaftar,9190150,2462921.8196238303
Belum Terdaftar,8787600,-1254827.4035114488
Terdaftar,8234738,2549624.3286896436
Belum Terdaftar,9039998,-247886.00959795632
Terdaftar,8602788,2685378.6455492163
Belum Terdaftar,8353531,2361373.539257657
Belum Terdaftar,9517244,4527214.97304232
Belum Terdaftar,8919431,2079290.196912934
Belum Terdaftar,9735640,1081054.127437697
Belum Terdaftar,9117938,1470492.5558972915
Belum Terdaftar,8553695,2621316.5089923334
Belum Terdaftar,8066466,1206974.3726628437
Terdaftar,9272432,-186638.83023585193
Belum Terdaftar,9852416,4305271.113833743
Belum Terdaftar,9952349,3705928.7169054076
Belum Terdaftar,9854767,3477406.9734917716
Belum Terdaftar,8571607,1620143.0347739335
Belum Terdaftar,8275679,2910380.471009929
Belum Terdaftar,8497878,799286.7420287358
Belum Terdaftar,9373593,3016935.200217691
Terdaftar,9832997,2029315.8741635226
Belum Terdaftar,8357279,3906588.980924981
Belum Terdaftar,9359668,258767.29322845815
Belum Terdaftar,8163353,1908717.2102713655
Belum Terdaftar,9790419,2976041.52801733
Belum Terdaftar,9050652,2225728.6046580095
Belum Terdaftar,8933377,1511736.3512077148
Belum Terdaftar,9543682,3596452.607178181
Belum Terdaftar,8453220,929620.6403711404
Belum Terdaftar,9247764,2967196.8681776985
Belum Terdaftar,8882912,1774177.514737723
Belum Terdaftar,8135584,2496305.323765788
Belum Terdaftar,8983171,2677706.563676956
Belum Terdaftar,9122540,1295948.4874417528
Belum Terdaftar,8982400,1545745.0548817397
Belum Terdaftar,9555581,630244.556760838
Belum Terdaftar,8536416,3260374.8906065417
Belum Terdaftar,9792474,4096497.0345098698
Belum Terdaftar,8956429,2230299.9142780947
Belum Terdaftar,8462689,1183720.6342249936
Belum Terdaftar,9091255,2585387.2101854547
Belum Terdaftar,8165706,1068514.1627623027
Belum Terdaftar,8197428,448325.8639258875
Belum Terdaftar,9019858,974749.3900710953
Belum Terdaftar,8646058,1970352.0188660559
Belum Terdaftar,9909849,3109079.334075844
Belum Terdaftar,8013485,2300636.049462671
Belum Terdaftar,9293295,1565625.692995746
Belum Terdaftar,9161289,617928.4470402852
Belum Terdaftar,9054627,1149959.841035706
Belum Terdaftar,9449907,2154133.7126846844
Belum Terdaftar,8522115,2587783.852439978
Belum Terdaftar,8081874,3023157.291444392
Terdaftar,9629580,3627440.0392020615
Belum Terdaftar,8438597,-411335.52582693665
Belum Terdaftar,9795857,4008305.910435317
Belum Terdaftar,8941327,2019266.797711871
Belum Terdaftar,9770806,2445719.520029345
Belum Terdaftar,9620557,1716340.3882999816
Belum Terdaftar,8912797,850231.6319638721
Belum Terdaftar,9925604,-516586.12517040136
Belum Terdaftar,9411445,1038494.9671278954
Terdaftar,9456828,4000330.5327942083
Belum Terdaftar,8447230,574419.2140365579
Belum Terdaftar,8670160,372705.56005021976
Belum Terdaftar,8797166,3014896.681719658
Belum Terdaftar,8859744,152554.75574430265
Belum Terdaftar,8089512,943047.7449666767
Belum Terdaftar,8176435,2533642.9975598943
Belum Terdaftar,9613443,2991318.7660965784
Belum Terdaftar,8782614,-320233.14576322003
Belum Terdaftar,9414561,2424943.5190139827
Belum Terdaftar,8697139,-857495.9972583918
Belum Terdaftar,8180960,402024.57160985237
Belum Terdaftar,9679518,1708830.743026421
Terdaftar,9745282,2449701.730214281
Belum Terdaftar,8337772,2523399.3009368638
Belum Terdaftar,8342943,-1355170.6040429291
Belum Terdaftar,8889892,1348875.5642044945
Belum Terdaftar,9886057,2400972.225676946
Belum Terdaftar,8643499,2340698.1438796134
Terdaftar,9098843,4483028.098724315
Belum Terdaftar,9098927,3886572.1246817326
Belum Terdaftar,8190306,568950.091668077
Belum Terdaftar,9314825,3193566.3843909693
Belum Terdaftar,9913844,2657549.7570969258
Belum Terdaftar,9625649,2963288.6092074723
Belum Terdaftar,9266156,3928861.4960523993
Belum Terdaftar,8497866,2719044.890857751
Belum Terdaftar,8446714,933307.7304777463
Belum Terdaftar,8596465,1092301.3401098575
Belum Terdaftar,9207275,3341760.3471138473
Belum Terdaftar,8546397,2759554.864999639
Belum Terdaftar,9205341,567954.3737411262
Belum Terdaftar,8464645,2636316.2062296383
Belum Terdaftar,9909421,372054.0532843403
Belum Terdaftar,8014192,1921214.6724531983
Belum Terdaftar,9077897,4269767.787189829
Belum Terdaftar,9768923,1359096.106768824
Belum Terdaftar,9658836,4035007.0160240647
Terdaftar,9223494,4550162.719992505
Belum Terdaftar,9645543,2968069.571926147
Belum Terdaftar,9336706,3901834.700427319
Terdaftar,9168424,2719186.047330277
Belum Terdaftar,9944467,2180248.2553130556
Belum Terdaftar,8579140,2982229.0470953886
Belum Terdaftar,8460214,2184273.468857686
Belum Terdaftar,8098297,2514828.875794894
Belum Terdaftar,8408877,3141471.8156243283
Belum Terdaftar,8492996,2250582.0971560064
Belum Terdaftar,9859828,36803.785498369485
Belum Terdaftar,8783534,-32528.875150559237
Belum Terdaftar,9144559,2047074.120947605
Belum Terdaftar,19784794,6800709.357294546
Belum Terdaftar,18680346,2064640.352839899
Terdaftar,19487517,7317655.448166521
Belum Terdaftar,19172206,2736446.8334680563
Belum Terdaftar,18635056,2503796.126590798
Belum Terdaftar,19579738,5204824.639862286
Belum Terdaftar,19228557,6572553.595890502
Belum Terdaftar,18740929,6059454.81188016
Terdaftar,18547759,-286535.6279802354
Belum Terdaftar,9024602,2398937.459786073
Belum Terdaftar,8154823,1640018.9358249619
Belum Terdaftar,8301974,-1374368.1892432817
Belum Terdaftar,8545101,2677594.5933309444
Belum Terdaftar,9763825,3645057.9161288096
Belum Terdaftar,9479241,909476.7429437523
Belum Terdaftar,8752887,-1456332.531278155
Belum Terdaftar,9350282,3239624.6972542903
Belum Terdaftar,8599677,412177.61824132083
Belum Terdaftar,9939054,1492793.943929423
Belum Terdaftar,9055611,1056257.844279255
Belum Terdaftar,8694590,1141120.9876782026
Belum Terdaftar,9203978,3282788.560352507
Belum Terdaftar,8471762,1772348.5785430805
Terdaftar,8008070,-922487.3166284272
Belum Terdaftar,8772317,2777501.713075714
Belum Terdaftar,8466785,294000.2932108124
Belum Terdaftar,9111915,500619.3561412085
Belum Terdaftar,9311148,2170613.818996252
Belum Terdaftar,8480894,622277.3620759058
Belum Terdaftar,9890766,2961736.848480225
Belum Terdaftar,8361074,-520303.14540421224
Terdaftar,9655495,2580684.5486473017
Belum Terdaftar,8921136,456351.7124436232
Belum Terdaftar,9015917,3651326.461423474
Belum Terdaftar,8328592,3319486.121169107
Belum Terdaftar,9249414,1752774.4428833283
Belum Terdaftar,9086049,-2398356.7841536915
Terdaftar,8006831,3185392.7753201644
Belum Terdaftar,8581868,1908297.0136392089
Belum Terdaftar,9862413,1891736.028454476
Belum Terdaftar,9091405,3223366.8644523914
Belum Terdaftar,8865877,1956126.6558907705
Belum Terdaftar,8408148,3264654.3624265003
Belum Terdaftar,19720189,5401227.247570519
Belum Terdaftar,18465531,5929831.492880085
Belum Terdaftar,18911419,5955426.242554511
Belum Terdaftar,18321904,1012594.0052918944
Terdaftar,19863250,6230915.590940541
Belum Terdaftar,18649522,2097289.461448193
Terdaftar,18275979,6500515.390180727
Belum Terdaftar,19567328,4557537.839200721
Belum Terdaftar,19376164,-4646506.076954926
Terdaftar,18774633,3580787.8794096247
Belum Terdaftar,19190928,4922492.431985524
Terdaftar,19889463,7083818.327640128
Belum Terdaftar,19622728,-802279.6919472119
Belum Terdaftar,18299428,961750.5286813071
Terdaftar,19711443,5841140.240285514
Belum Terdaftar,19979295,2809586.5902472986
Belum Terdaftar,16443788,2200908.869641347
Terdaftar,18067821,4177926.626167588
