id_umkm,nama_usaha,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,Unnamed: 14,Unnamed: 15,rand_num,omset_outlier,omset_trim,Unnamed: 19,aset_baru,aset_baru_2,efficiency,aset_sim,total_tk_est,total_tenaga_kerja,lama_usaha,lama_usaha_mod
28828567,UD. Alif Pamungkas,Makanan & Minuman,2.0,2.0,3321953,9493293,Tokopedia,479,Belum Terdaftar,2024.0,-2149355,171000000,479,,,0.976517797,9493293,9493293,,6058574,3321953.255,1.2197984756465021,6079294.261125644,4.0,4.0,0.0,-0.23879509830561876
28828568,UD. Zidanar Panji,Fashion,4.0,3.0,4909911,9783071,Bukalapak,464,Terdaftar,2020.0,32571277,147000000,464,,,0.151496871,9783071,9783071,,9697179,4909911.428,0.9461958322977603,8691723.096082265,7.0,7.0,4.0,3.979101287260141
28828569,UD. Winda Jayengprana,Makanan & Minuman,1.0,2.0,2442627,8572021,Website Sendiri,383,Belum Terdaftar,2024.0,16371593,375000000,383,,,0.922860889,8572021,8572021,,53067,2442626.613,1.295731519047275,8114530.796661029,3.0,3.0,0.0,-0.2677258316224228
28828570,UD. Damaris Satria,Perusahaan,2.0,2.0,5401350,7898700,Website Sendiri,986,Belum Terdaftar,2021.0,11124211,282000000,986,,,0.103956322,7898700,7898700,,19194812,5401349.915,1.838981604466553,2143880.684039657,4.0,4.0,3.0,3.3053833919927222
28828571,UD. Qasya Wiratama,Fashion,0.0,1.0,3593331,9148899,Lazada,314,Belum Terdaftar,2016.0,-4636043,450000000,314,,,0.242525229,9148899,9148899,,4383426,3593330.937,0.9105910818022169,8535506.97087946,1.0,1.0,8.0,8.339360334227923
28828572,UD. Grego Wiraatmaja Nara,Perusahaan,4.0,3.0,14094272,9189285,Bukalapak,661,Belum Terdaftar,2014.0,10225197,336000000,661,,,0.209552127,9189285,9189285,,8336564,3032464.05,0.9105970617733441,4873821.121501918,7.0,7.0,10.0,9.781143674526426
28828573,UD. Mika Bagaskara,Makanan & Minuman,2.0,2.0,10377878,9190150,Lazada,714,Terdaftar,2019.0,-3433417,270000000,unknown,,,0.473678411,9190150,9190150,,10604408,2757045.0,1.8807772574272295,4151049.5184025834,4.0,4.0,5.0,4.641852390865023
28828574,UD. Yora Selaras,Makanan & Minuman,1.0,1.0,5087510,8787600,Tokopedia,460,Belum Terdaftar,2015.0,9637378,234000000,460,,,0.162033815,8787600,8787600,,13660538,5087510.342,1.3593054784006822,3745178.133503157,2.0,2.0,9.0,9.341626473039808
28828575,UD. Wenny Langit,Makanan & Minuman,1.0,1.0,14661897,8234738,Shopee,120,Belum Terdaftar,2022.0,39104489,492000000,120,,,0.253767005,8234738,8234738,,11980841,14661896.67,0.8287889381655354,10133875.937715774,2.0,2.0,2.0,1.8495641098406208
28828576,UD. Fani Wijaya,Makanan & Minuman,0.0,1.0,6019812,9039998,Website Sendiri,871,Belum Terdaftar,2013.0,34415640,189000000,871,,,0.611511646,9039998,9039998,,13165704,6019812.303,1.2423739404140397,4898620.433469842,1.0,1.0,11.0,10.750366615433474
28828577,UD. Karim Asmaralaya,Makanan & Minuman,3.0,3.0,4957433,8602788,Bukalapak,736,Terdaftar,2023.0,-2951035,306000000,736,,,0.995637416,8602788,8602788,,14011610,4957432.839,0.8307992604680251,10616189.096938105,6.0,6.0,1.0,1.3354534470608055
28828578,UD. Jafar Gandewa,Makanan & Minuman,1.0,3.0,6432219,8353531,Tokopedia,580,Belum Terdaftar,2024.0,34836432,189000000,580,,,0.436288299,8353531,8353531,,8183142,6432218.87,0.8300312723027301,9702401.588406842,4.0,4.0,0.0,0.3061027819886769
28828579,UD. Elyas Wiraatmaja,Makanan & Minuman,1.0,2.0,7234356,9517244,Bukalapak,593,Belum Terdaftar,2022.0,17065158,276000000,593,,,0.467893886,9517244,9517244,,3230109,7234356.111,1.1016233984463197,12819394.423561597,3.0,3.0,2.0,1.6425319211657143
28828580,UD. Erlangga Wiyata,Makanan & Minuman,1.0,2.0,3276769,8919431,Website Sendiri,26,Belum Terdaftar,2023.0,9740643,408000000,26,,,0.472915179,8919431,8919431,,13259450,3276768.698,0.46518872390940547,20416835.160495497,3.0,3.0,1.0,0.7661204996033257
28828581,UD. Hasna Saputranegara,Makanan & Minuman,2.0,1.0,8346824,9735640,Shopee,143,Belum Terdaftar,2018.0,12644475,294000000,143,,,0.699200684,9735640,9735640,,13893664,8346823.63,0.5015925546350168,14810364.071593728,3.0,3.0,6.0,6.2500543544615015
28828582,UD. Halim Surya,Makanan & Minuman,2.0,2.0,5148624,9117938,Tokopedia,581,Belum Terdaftar,2015.0,13309023,525000000,581,,,0.300164668,9117938,9117938,,19611666,5148624.097,0.7985840861821429,8255408.365690829,4.0,4.0,9.0,8.813757579725422
28828583,UD. Farhan Mulyo,Makanan & Minuman,2.0,2.0,3380379,8553695,Website Sendiri,321,Belum Terdaftar,2020.0,34510730,438000000,321,,,0.572707251,8553695,8553695,,10469238,3380378.542,0.6668884768745734,12964295.024393568,4.0,4.0,4.0,4.134752601195422
28828584,UD. Farhan Sukadarma,Makanan & Minuman,1.0,1.0,8786205,8066466,Tokopedia,661,Belum Terdaftar,2019.0,42613809,480000000,661,,,0.891995266,8066466,8066466,,12605188,4920544.26,1.133940724797949,4789037.680595703,2.0,2.0,5.0,4.632036707444695
